weight,n_estimators,max_depth,learning_rate,gamma,train_acc,val_acc
0.5,60,10,0.0001,0,0.8675925925925927,0.7853835978835979
0.8,60,10,0.0001,0,0.8671296296296296,0.7779100529100529
0.2,30,10,0.0001,0,0.8668320105820106,0.7780423280423282
0.5,30,10,0.0001,0,0.8666170634920636,0.7742724867724868
0.8,30,10,0.0001,0,0.8656746031746032,0.7807539682539683
0.2,12,10,0.0001,0,0.8651785714285716,0.7804232804232804
0.5,12,10,0.0001,0,0.8655257936507936,0.7788359788359788
0.8,12,10,0.0001,0,0.8634920634920634,0.7811507936507937
0.2,5,10,0.0001,0,0.8676256613756614,0.7798280423280424
0.5,5,10,0.0001,0,0.8670469576719576,0.7791005291005291
0.8,5,10,0.0001,0,0.8677579365079365,0.7841269841269841
0.2,100,7,0.0001,0,0.7976521164021164,0.748015873015873
0.5,100,7,0.0001,0,0.7957506613756613,0.748015873015873
0.8,100,7,0.0001,0,0.7953703703703703,0.7523809523809524
0.2,60,7,0.0001,0,0.7930555555555555,0.7467592592592592
0.5,60,7,0.0001,0,0.7959325396825397,0.7472883597883598
0.8,60,7,0.0001,0,0.7950396825396825,0.7480820105820106
0.2,30,7,0.0001,0,0.7945601851851852,0.7458994708994708
0.5,30,7,0.0001,0,0.7961309523809524,0.7472222222222223
0.8,30,7,0.0001,0,0.7979497354497356,0.7490079365079365
0.2,12,7,0.0001,0,0.7913690476190476,0.7472883597883597
0.5,12,7,0.0001,0,0.7970568783068783,0.75
0.8,12,7,0.0001,0,0.7956845238095237,0.7432539682539683
0.2,5,7,0.0001,0,0.7957341269841269,0.7435846560846561
0.5,5,7,0.0001,0,0.7950892857142857,0.749074074074074
0.8,5,7,0.0001,0,0.7965608465608466,0.7460317460317459
0.2,100,4,0.0001,0,0.6983796296296296,0.6825396825396826
0.5,100,4,0.0001,0,0.6962632275132274,0.6816798941798942
0.8,100,4,0.0001,0,0.6985284391534392,0.6830026455026456
0.2,60,4,0.0001,0,0.6974867724867725,0.6852513227513228
0.5,60,4,0.0001,0,0.6965608465608465,0.6822751322751323
0.8,60,4,0.0001,0,0.6958498677248678,0.6771825396825397
0.2,30,4,0.0001,0,0.6943452380952381,0.6743386243386243
0.5,30,4,0.0001,0,0.6966435185185185,0.6770502645502645
0.8,30,4,0.0001,0,0.695949074074074,0.6818783068783069
0.2,12,4,0.0001,0,0.6967592592592592,0.6823412698412699
0.5,12,4,0.0001,0,0.6955687830687831,0.6795634920634921
0.8,12,4,0.0001,0,0.6947751322751323,0.6823412698412697
0.2,5,4,0.0001,0,0.6991071428571429,0.6848544973544973
0.5,5,4,0.0001,0,0.6957506613756613,0.6834656084656086
0.8,5,4,0.0001,0,0.6971891534391534,0.6813492063492063
0.2,100,2,0.0001,0,0.6281911375661375,0.6253306878306878
0.5,100,2,0.0001,0,0.6266534391534393,0.6222222222222222
0.8,100,2,0.0001,0,0.626901455026455,0.6242724867724868
0.2,60,2,0.0001,0,0.6269675925925926,0.6224206349206349
0.5,60,2,0.0001,0,0.6265211640211639,0.6214947089947089
0.8,60,2,0.0001,0,0.6290674603174603,0.6242063492063492
0.2,30,2,0.0001,0,0.6230654761904763,0.621494708994709
0.5,30,2,0.0001,0,0.6258597883597885,0.6215608465608465
0.8,30,2,0.0001,0,0.6275958994708996,0.6236772486772486
0.2,12,2,0.0001,0,0.6224206349206349,0.620436507936508
0.5,12,2,0.0001,0,0.6254464285714285,0.6229497354497354
0.8,12,2,0.0001,0,0.6231481481481482,0.6189814814814815
0.2,5,2,0.0001,0,0.6272156084656084,0.6240079365079365
0.5,5,2,0.0001,0,0.624537037037037,0.6199735449735451
0.8,5,2,0.0001,0,0.629431216931217,0.6257936507936508
0.2,100,10,1e-05,0,0.8664351851851851,0.7787037037037037
0.5,100,10,1e-05,0,0.8667493386243388,0.7786375661375662
0.8,100,10,1e-05,0,0.8641699735449736,0.7775132275132275
